word,definition
absolutely,completely or without any doubt
accommodate,to provide space or to fit in with someone's needs
accompanied,went somewhere with someone
accomplishment,something achieved successfully
achieved,successfully reached or completed
achievement,something earned through effort
acquired,got or obtained
advertisement,a notice that promotes a product or service
agriculture,the work of farming the land and raising animals
aisle,a passageway between rows of seats or shelves
alligators,large reptiles with strong jaws
allocated,set aside for a particular purpose
amateur,a person who does something for fun, not as a job
angrily,in an angry way
announcement,a public statement giving news
annual,happening once every year
antique,very old and often valuable
antiseptic,a liquid that kills germs on cuts
applauded,clapped to show approval
apprentices,people learning a trade by working with an expert
approached,came near to something or someone
appropriate,suitable or right for the situation
attendance,the act of being present somewhere
auditorium,a large room where audiences watch a performance
bargains,things bought for less than the usual price
barrier,something that blocks the way
beginning,the first part of something
benefit,something that helps or gives an advantage
biodegradable,able to break down naturally and not pollute
bizarre,very strange or odd
bravery,courage in the face of danger
brochures,small booklets that give information about something
building,a structure with walls and a roof
bulletin,a short news report or notice
buoyant,able to float on water
business,work done to make money; or a company
camouflage,colouring or pattern that hides an animal in its surroundings
camouflaged,hidden by blending into the surroundings
campaign,an organised set of actions to achieve a goal
canyon,a deep valley with steep sides
career,the kind of job a person does over their working life
catchment,an area where rainwater collects and flows into a river
census,an official count of the population
certain,sure about something
chaos,a state of total confusion
cinnamon,a sweet brown spice from tree bark
circuit,a closed path; or one lap of a track
circular,shaped like a circle
circulated,passed around from person to person
circumnavigate,to travel all the way around something
classify,to sort things into groups
commercial,relating to business; or a TV advertisement
community,a group of people who live in the same area
complimentary,given free, or expressing praise
confronted,faced something difficult head-on
conscientious,careful to do the right thing
considerable,fairly large in size or amount
consignment,a batch of goods sent somewhere
consumed,used up or eaten
convenient,easy to do or use
counterfeit,a fake copy made to deceive
customers,people who buy goods or services
damaged,harmed so it doesn't work properly
deafening,extremely loud
declare,to state something publicly
deforestation,the cutting down of forests
deliberately,on purpose; not by accident
democracy,a system where people choose their leaders by voting
densely,packed closely together
depot,a building where buses or trains are kept
digits,the numbers from 0 to 9; or fingers and toes
disturb,to interrupt or upset someone
dividing,splitting into parts
drought,a long period without enough rain
eclipsed,blocked from view by something else
economy,the way money and goods move through a country
effectively,in a way that produces the desired result
elevates,lifts something to a higher level
emptied,had everything removed
enigma,a mysterious or puzzling thing
environment,the natural world around us
eruption,the sudden bursting out of something, like lava
evacuate,to leave a dangerous place quickly
eventually,in the end; after a long time
exaggerated,described as bigger or worse than it really is
exceeding,going beyond a limit
exhibition,a public display of items to be viewed
exotic,from a faraway country; unusual and interesting
experience,knowledge gained from doing something
extinction,the dying out of a kind of animal or plant
facilitate,to make something easier
failure,not succeeding at something
fair,treating everyone equally; or a place with rides and stalls
fatigue,extreme tiredness
faulty,not working properly
feint,a fake movement to mislead an opponent
flexible,able to bend without breaking; willing to change
forecast,a prediction about future weather
foreign,from another country
format,the way something is arranged or presented
frequently,often
frozen,turned solid by cold
fulfilling,giving a feeling of satisfaction
futuristic,looking like something from the future
garbage,rubbish or waste
generally,in most cases
genius,a person with great natural ability
glacier,a huge slow-moving river of ice
gnawing,biting and chewing on something repeatedly
gourmet,relating to high-quality food
government,the group of people who run a country
graphic,clear and detailed; or relating to images
gratefully,in a thankful way
guard,to protect from harm
guidance,advice that helps you make decisions
habitat,the natural home of an animal or plant
hectares,units used to measure large areas of land
heightened,made stronger or more intense
hesitant,unsure; pausing before acting
hierarchy,a system where things are ranked from highest to lowest
hilarious,extremely funny
identity,who someone is
illegally,against the law
imagination,the ability to picture things in your mind
improvise,to make something up as you go
incorporated,included as part of a whole
inevitably,bound to happen; unavoidably
innocence,not being guilty; or simple trust
insight,a deep understanding of something
instantaneous,happening at once
interpreter,a person who translates one language into another
involuntary,not done on purpose; out of your control
jeopardy,danger or risk
journals,notebooks where you record your thoughts
label,a small piece of paper or fabric attached to something
laughter,the sound and act of laughing
library,a place full of books to borrow or read
longitude,distance east or west on a map measured in degrees
lyrics,the words of a song
magazine,a regular publication with articles and pictures
medicinal,used for healing or treating illness
miserable,extremely unhappy
misrepresent,to give a wrong idea about something
moisten,to make slightly wet
moisture,small amounts of water in the air or on a surface
molecule,a tiny group of atoms held together
monitor,to watch over closely; or a screen
mysteries,things that are hard to understand or explain
negligence,failure to take proper care
noisiest,loudest of a group
noticeable,easy to see or be aware of
noxious,harmful or poisonous
nurture,to care for and help something grow
occasionally,now and then; not often
offering,giving something to someone
omnivorous,eating both plants and animals
opinion,what someone thinks about something
optimist,a person who expects good things to happen
orbit,the path one object takes around another in space
