word,definition
abbreviation,a shortened form of a word or phrase
accept,to agree to take something offered
access,the right or way to get into a place or thing
accessible,easy to reach or use
accompany,to go somewhere with someone
achieved,successfully reached or completed
activity,something you do
address,the details of where someone lives
adequate,enough for what is needed
admitted,owned up to something
advertisement,a notice that promotes a product or service
aggressive,quick to attack or get angry
alligators,large reptiles with strong jaws
anchor,a heavy hook that stops a boat from drifting
angrily,in an angry way
ankle,the joint between the foot and the leg
announcement,a public statement giving news
annoyed,a little bit angry
antique,very old and often valuable
antiseptic,a liquid that kills germs on cuts
aquatic,living in or relating to water
athletes,people who play sports at a high level
atmosphere,the layer of air around a planet
attachment,something joined or added to another thing
attitude,the way you think or feel about something
attracts,pulls or draws something towards itself
automatic,working by itself without a person controlling it
average,the typical or middle amount
awkwardly,in a clumsy or uncomfortable way
balance,to stay steady without falling
beginning,the first part of something
biography,the story of a real person's life
blizzard,a severe snowstorm with strong wind
bought,past tense of 'buy'
breakfast,the first meal of the day
bridge,a structure built to cross over a road or river
brochures,small booklets that give information about something
burrows,holes dug in the ground by small animals
canyon,a deep valley with steep sides
catchment,an area where rainwater collects and flows into a river
categories,groups of things sorted by what they have in common
circulated,passed around from person to person
claws,sharp curved nails on an animal's foot
climate,the usual weather of a place over many years
climb,to go up using your hands and feet
collar,a band of cloth or leather around the neck
community,a group of people who live in the same area
consumed,used up or eaten
consumption,the act of using or eating something
crate,a wooden or plastic box for carrying things
crunchy,making a loud sharp sound when bitten
crystal,a clear hard mineral with flat sides
cupboard,a piece of furniture with shelves and doors
cylinder,a round tube-shaped object
damaged,harmed so it doesn't work properly
dangerous,able to cause harm
deafening,extremely loud
depot,a building where buses or trains are kept
description,words that tell what someone or something is like
determined,refusing to give up
detour,a different route taken when the usual one is blocked
diamond,a very hard sparkling gemstone
dirtier,more dirty than something else
disappointed,sad because something didn't go as hoped
discussed,talked about with other people
disposable,made to be thrown away after one use
drafting,writing an early version of something
drought,a long period without enough rain
earn,to get money by working
eclipsed,blocked from view by something else
encouraged,gave someone confidence to do something
envelope,a paper cover for a letter
environment,the natural world around us
equipped,supplied with what is needed
evaluation,careful judging of something's value
evaporate,to turn from liquid into vapour
exaggerated,described as bigger or worse than it really is
exceeding,going beyond a limit
excellent,very good indeed
experience,knowledge gained from doing something
explanation,a statement that makes something clear
extra,more than what is usual
