word,definition
actor,a person who performs in plays or films
animal,a living creature that is not a plant
around,on all sides or in a circle
artist,a person who makes pictures or art
balance,to stay steady without falling
barked,the sound a dog made
bath,a big tub of water for washing yourself
battery,a small box that stores power for toys or torches
beak,the hard pointy mouth of a bird
bear,a big furry wild animal
because,for the reason that
bee,a flying insect that makes honey
benches,long wooden seats
biscuits,small sweet crunchy snacks
black,the colour of the night sky with no stars
blue,the colour of a clear sky
boil,to heat water until it bubbles
bowl,a round dish you eat soup or cereal from
bread,food made from flour that you use for sandwiches
breeze,a gentle wind
brick,a hard block used to build walls
brown,the colour of chocolate or tree bark
brushes,things you use to clean teeth or paint
building,a place like a house or school
bunches,groups of things tied together
button,a small round thing you push or do up a shirt with
calf,a baby cow
carefully,in a way that avoids mistakes or danger
chalk,white sticks for writing on a blackboard
chance,a time when something might happen
chased,ran after someone or something
chatting,talking in a friendly way
chew,to bite food over and over with your teeth
choice,picking one thing out of many
clear,easy to see through; not cloudy
closely,near to something; with careful attention
collect,to gather things together
comfortable,feeling nice and relaxed
corner,where two walls or streets meet
could,was able to
cover,to put something on top of another thing
cracked,broken with a line in it
daily,every day
dark,not light
deep,going down a long way
departments,different parts of a big shop
directions,instructions telling you where to go
disguised,dressed up so no one knows who you are
dollars,money used in Australia and America
door,what you open to go in or out of a room
dragonflies,shiny insects with long wings that fly near water
driving,controlling a car as it moves
dry,not wet
edge,the side or end of something
enjoy,to have fun with something
exactly,in a perfectly correct way
exit,the way out
eyes,the part of your face you see with
face,the front of your head
famous,known by lots of people
feet,the parts of your legs you stand on
felt,noticed something by touch or feeling
floating,staying on top of water or in the air
flood,when lots of water covers the land
flower,the pretty colourful part of a plant
fluffier,softer and puffier than before
forest,a big group of trees
frog,a small green animal that hops
fruit,sweet food that grows on trees like apples
gentle,soft and kind
glitter,tiny shiny sparkly bits
gloves,things you wear on your hands to keep them warm
goes,moves to a place
grandfather,your mum or dad's father
great,very good
growl,a deep angry sound like a dog makes
guess,to try to give the right answer
halves,two equal parts of something
healthy,well and not sick
heavier,weighing more than something else
helmet,a hard hat that keeps your head safe
helps,gives a hand with something
honey,the sweet food that bees make
hoping,wishing that something will happen
hose,a long tube that water goes through
huge,very big
hungry,wanting to eat
ignored,took no notice of
insects,tiny animals like ants or flies
juice,a drink made from fruit
jumping,pushing off the ground with your legs
kindness,being nice to others
knee,the middle bendy part of your leg
knock,to hit something with your hand
lamb,a baby sheep
large,big
leaf,the flat green part of a plant
learn,to find out something new
lighthouse,a tall tower with a big light near the sea
like,to enjoy something
limbs,arms and legs
little,small
lizard,a small animal with scales and four legs
locked,closed so it cannot be opened
looked,used your eyes to see
loose,not tight
loudly,in a noisy way
machine,something with parts that does a job
mail,letters and parcels delivered to your house
match,a small stick that makes fire
memory,something you remember
might,could possibly happen
millions,very many; a thousand thousands
mirror,glass you can see yourself in
moonlight,light that comes from the moon
mouths,the part of a face used to eat and talk
movement,when something moves
multiply,to make a number bigger by a certain amount
nailed,fixed something with a nail
neatly,tidy and careful
new,just made or never used before
nice,pleasant and kind
nicely,in a nice way
notice,to see or know something
nursery,a place for very young children
often,many times
open,not closed
out,away from inside
oxygen,the gas we need to breathe
paddling,wading or rowing in water
parrot,a colourful bird that can copy sounds
path,a narrow way to walk on
pick,to choose something
pillow,a soft thing you put your head on in bed
planets,big round things in space like Earth
plays,games or fun activities
pleasing,making someone happy
popular,liked by lots of people
pour,to tip liquid out of something
present,a gift you give someone
pretty,nice to look at
probably,very likely
promised,said they would really do it
properly,done in the right way
pushed,used hands to move something away
pushes,moves something using strength
rabbit,a small furry animal with long ears
rain,water that falls from clouds
rainbow,a curve of colours in the sky
rainy,wet with lots of rain
ribbon,a thin strip of cloth or paper
roaring,making a loud deep sound like a lion
rocket,a tall pointy ship that flies into space
rows,lines of things next to each other
safety,being safe from harm
scissors,tool with two blades for cutting paper
seat,a place to sit
sensible,using good sense
shopping,buying things at a shop
short,not long or tall
sign,a notice that tells you something
signal,a sign that tells you what to do
skeleton,all the bones inside a body
slowly,not quickly
snack,a small bit of food between meals
sneeze,to suddenly blow air out of your nose
sometimes,now and then; not always
special,different and important
spicy,tasting hot like chilli
spider,a small creature with eight legs
spill,to let liquid fall out
splashes,the sound or splat of water hitting something
spot,a small round mark
squeezed,pressed something tightly
squirts,shoots out liquid in a thin stream
stain,a mark that is hard to wash out
stars,tiny lights you see in the night sky
stomach,the part of your body that holds food
stopped,did not keep going
supermarket,a big shop that sells food
swan,a big white bird with a long neck
swimming,moving through water with your arms and legs
sword,a long sharp weapon like knights used
tail,the long thin part at the back of an animal
talked,said words to someone
teaspoon,a small spoon for stirring drinks
technology,computers and other modern inventions
thankful,happy and grateful for something
thick,not thin
third,after second and before fourth
tissues,soft paper for blowing your nose
tray,a flat board for carrying food or drinks
tunnel,a long hole dug under the ground
unable,not able to
untied,undid a knot or laces
vegetable,a plant we eat like a carrot
very,a lot
waited,stayed until something happened
whales,big sea animals that breathe air
wheel,a round thing that turns on cars and bikes
white,the colour of snow or milk
winner,the person who comes first
wise,knowing a lot
won,came first in a game
wooden,made from wood
work,the job someone does
would,a word meaning might do something
wrap,to cover something with paper
wrong,not correct
yellow,the colour of a banana or the sun
